"x","y","Layer","cell_count","Dominant","ct_count","Astro","Endo","L2/3","L4","L5","L6","Oligo","Pvalb","Smc","Sst","Vip","dominant_hat"
3,14,"L2/3",8,"Endo",5,0.103556295613851,0.067101860694481,0.263811971986564,0.232697645747583,0.00197886780343934,0.0241465741712144,0.0220236668609818,0.14989563160652,0.0277072812066513,0.0391014257363889,0.0679787785723248,"L2/3"
3,15,"L2/3",7,"L2/3",3,0.0789894773237982,0.0260458734795425,0.260537649105522,0.108466860132304,0.0319799239902772,0.0889389477441786,0.00748293983103656,0.266178372796335,0.0360814454926846,0.0632293975119882,0.0320691125923335,"Pvalb"
3,16,"L2/3",9,"L2/3",3,0.0691867440240302,0.0116862212095492,0.367979606751649,0.205657430276031,0.0096019218648266,0.0444240523319912,0.0451130474943457,0.0879628372485157,0.0273020375142628,0.0205325904063694,0.110553510878429,"L2/3"
3,17,"L2/3",10,"L2/3",4,0.0764530546634479,0.0234166935458266,0.324394609501828,0.0665082777552947,0.0118307425613161,0.153131395919392,0.00757471906003329,0.036187670586566,0.0422849231248116,0.171469623102039,0.0867482901794446,"L2/3"
3,18,"L1",1,"Astro",1,0.508933793810359,0.0468410296460827,0.0763333743036941,0.131886816621028,8.47416634021358e-05,8.47416634021369e-05,0.0139605801526288,0.0708429562423977,0.0744218639041144,0.0272265611299441,0.0493835408629476,"Astro"
3,19,"L1",2,"Astro",2,0.393685735176432,0.140741108179005,0.000180551435830878,0.13638698366006,0.0517814279613302,0.000180551435830878,0.0167066198273664,0.147135152777045,0.0281631108906889,0.000180551435830878,0.0848582072205796,"Astro"
3,2,"I_CC",3,"Oligo",2,0.112540690972344,0.0362828493310409,0.012092879546751,0.000566043136137023,0.239837503852567,0.0755569261270139,0.204409355607499,0.139213612568451,0.03470874064784,0.0393159475971865,0.105475450613169,"L5"
3,3,"I_CC",9,"Oligo",2,0.176338040174041,0.0246348207490276,0.0728067619255342,0.000451384892172912,0.0766790609676867,0.027419007327554,0.345147379411391,0.0869898939317732,0.0454816669481456,0.0468198181742098,0.0972321654984639,"Oligo"
3,4,"I_CC",5,"Oligo",4,0.246750259784742,0.0813823168141489,0.000291166159000928,0.000291166159000928,0.158855078033839,0.115457196613766,0.212444993084566,0.0378816382952233,0.0746592406119748,0.0323057034907558,0.0396812409529829,"Astro"
3,5,"L6",11,"L6",3,0.106786282154864,0.0165095302450607,0.000345750245462584,0.0355764758014784,0.153699143157912,0.408540867837011,0.0743918298102581,0.026800941722745,0.058871842494173,0.0648281389696783,0.0536491975613562,"L6"
3,6,"L6",8,"L6",1,0.0831452894955906,0.0139507395359404,0.0440428436272249,0.0596229542679913,0.0242114276614258,0.537016840115213,0.0349333831850344,0.0936006927924557,0.043017114437424,0.0287247370840028,0.0377339777976971,"L6"
3,7,"L6",7,"L6",4,0.111661906984942,0.0289209294093642,0.0199505028331065,0.0722443502008958,0.0875277233895902,0.390565658015872,0.0350818882171567,0.181356227334162,0.0290259547205366,0.0149197607210671,0.028745098173307,"L6"
3,8,"L5",5,"Astro",2,0.203040066538012,0.0367558211720958,0.000335383016974455,0.0905074400195638,0.0610482942603684,0.342755843714622,0.0429792144124913,0.105961230429177,0.0444871168074992,0.0275335634281302,0.0445960262010649,"L6"
3,9,"L5",6,"L5",4,0.179654877608409,0.0243961576570397,0.00745338577091813,0.000228956437907363,0.378149413439279,0.0682121510742869,0.0524855887717925,0.073644503280159,0.0234746199505978,0.106971562963049,0.0853287830465614,"L5"
4,1,"HPC",1,"Oligo",1,0.0750940022303599,0.0290441707801665,0.070934773564056,0.000413493091892229,0.144904582435678,0.286191218397568,0.2456096884819,0.0765688486386108,0.000413493091892358,0.000413493091892231,0.0704122361959842,"L6"
4,10,"L5",6,"Astro",4,0.107403913145647,0.0194731522658198,0.139870613705469,0.000358707274938799,0.381583499244668,0.100758044300581,0.00712279752180643,0.149274193643595,0.0153673059826387,0.044656996653854,0.034130776260982,"L5"
4,11,"L4",8,"L4",4,0.072440408771655,0.0522945001416751,0.000151171011420829,0.410101363898348,0.174911663390793,0.0179581236326673,0.0561630097812,0.0714697729739788,0.027441156571006,0.0417434271944289,0.0753254026328262,"L4"
4,12,"L4",9,"L4",3,0.127670040386655,0.0348863614969343,0.058198300300981,0.465956652675674,0.0397419384516075,0.00017900859401525,0.0322098615547708,0.106191194557974,0.044704166851585,0.046937700378295,0.0433247747515081,"L4"
4,13,"L4",12,"L4",3,0.0856750401645265,0.0318859398911646,0.0824879431935192,0.511555533902273,0.0516682298713837,0.0290131739953953,0.0424772169431872,0.0534575268708592,0.0279764859746066,0.0278882576177928,0.0559146515752919,"L4"
4,14,"L2/3",10,"L4",3,0.113472240528165,0.00844837172751984,0.0854097713598061,0.339856232495301,0.0631235226983587,0.12751955388098,0.0218644546681815,0.117005113592287,0.0446170900568629,0.0340867758503134,0.044596873142224,"L4"
4,15,"L2/3",9,"L2/3",5,0.114530149519145,0.0384202077514317,0.399817187080091,0.149060200579717,0.000227906812801131,0.00025635985004066,0.0182850436896993,0.0508599604718945,0.0431462098019091,0.0789213220269641,0.106475452416307,"L2/3"
4,16,"L2/3",10,"L2/3",6,0.111636659946563,0.0328438642242308,0.225729405116953,0.140833636133623,0.0643290980497092,0.0692506933682194,0.0344656597133262,0.171209059620576,0.0320038149556566,0.0440641284738791,0.0736339803972635,"L2/3"
4,17,"L2/3",10,"L2/3",2,0.074763211553579,0.0321872791557766,0.520736278721608,0.0414517764138962,0.00413336056745315,0.0994263745983318,0.024885252895396,0.0560682856405608,0.0395446211382816,0.0505438752464168,0.0562596840686998,"L2/3"
4,18,"L1",3,"Astro",3,0.260102650272776,0.0367859387568891,0.097766387933107,0.124799959848603,0.0869984398895468,0.0992199917237722,0.0301027323635059,0.0999765478862317,0.0337170536442421,0.00356174726873467,0.126968550412591,"Astro"
4,19,"L1",2,"Astro",2,0.363563627605518,0.000191514254713629,0.000191514254713628,0.00180743704333843,0.149984911248385,0.107608609978906,0.12650531478138,0.0677587652615596,0.0408841960052753,0.000191514254713629,0.141312595311497,"Astro"
4,2,"I_CC",4,"Oligo",3,0.174748394144972,0.0445618444943356,0.0848989770339193,0.0111839965275785,0.24430307514623,0.000522229582373857,0.150710186097741,0.0904138209196605,0.0425138707653362,0.0434605795493646,0.112683025738489,"L5"
4,3,"I_CC",4,"Oligo",1,0.154092102734639,0.0592096912679966,0.0631721664018572,0.0360848644514428,0.065246480689104,0.000687244089536815,0.345132351449416,0.000687244089536815,0.0764563748630405,0.103907027353425,0.0953244526100059,"Oligo"
4,4,"I_CC",5,"Oligo",1,0.0491174395781037,0.0335379655986928,0.000212293595696936,0.0221507592014626,0.187101270598216,0.000212293595696935,0.411672141036706,0.137760005656005,0.0482074904589794,0.0366071595770778,0.0734211811033632,"Oligo"
4,5,"I_CC",9,"L6",4,0.0862877911233852,0.0401111609781821,0.000337197394364219,0.0197650869449216,0.175831916367075,0.338758057403016,0.083353417086676,0.073614322271169,0.0317439362661849,0.110920905114366,0.0392762090506601,"L6"
4,6,"L6",5,"L6",3,0.106233124619819,0.0223351930201222,0.113237628590506,0.149365600873788,0.000359309665961204,0.411040510152271,0.0196243599664761,0.093692291128225,0.0307879535324419,0.0153876307882999,0.0379363976620902,"L6"
4,7,"L6",6,"L6",1,0.0777868826829014,0.0228707977153529,0.0226027492101805,0.0836445058002313,0.0615963940230732,0.512125795038481,0.0164297606267733,0.106021399896777,0.0409765637428442,0.014991424866966,0.0409537263964186,"L6"
4,8,"L5",4,"L5",3,0.0941061571466199,0.00021747404741656,0.000217474047416561,0.107175922269298,0.280995590146659,0.211935254543815,0.0576054355756424,0.0909340803608901,0.0533238243693648,0.0377923741821595,0.0656964133107175,"L5"
4,9,"L5",10,"L6",5,0.0782512284105397,0.0328177716771491,0.000178551572569383,0.000200695885269793,0.515863735569116,0.0530960810470477,0.0801109547366724,0.100790227157054,0.0387087330451724,0.0249446333661992,0.0750373875332102,"L5"
5,1,"HPC",1,"L5",1,0.072595418183337,0.0141020752700403,0.00033770405261278,0.000448625504053134,0.285346615739409,0.235556458248741,0.0137419746436699,0.145160305364987,0.0405207625862227,0.0687033327793894,0.123486727627538,"L5"
5,10,"L5",5,"Astro",3,0.137663496767561,0.0323350090651071,0.032088453855576,0.0928010471955863,0.249977935372562,0.132924162239759,0.0710578269167218,0.139480074735092,0.0412371976742291,0.0257718491936098,0.0446629469841957,"L5"
5,11,"L4",11,"L4",4,0.0961377155646283,0.034440350279586,0.000157282024873276,0.384205423037435,0.0397585335063823,0.0643508340315962,0.0423356709243281,0.0753430845329492,0.0352892593535437,0.17689950863263,0.0510823381120482,"L4"
