"x","y","Layer","ID","EPL-IN","GC","M-TC","OSNs","PGC","dominant_hat"
20.062,19,"ONL",148,0.0965628596443412,0.174243213986027,0.133122237458836,0.50505550783773,0.0910161810730663,"OSNs"
20.072,20.997,"ONL",160,0.044422200273726,0.112448803469663,0.193846732343449,0.336788179166301,0.312494084746861,"OSNs"
20.075,17.059,"ONL",2,0.0410292024900861,0.136006298623367,0.282088773092497,0.3947141842145,0.146161541579551,"OSNs"
20.078,22.838,"ONL",162,0.0202449411400276,0.128460256686301,0.174123344764656,0.38911791471628,0.288053542692735,"OSNs"
20.085,15.949,"ONL",189,0.0270840222021073,0.172500786605318,0.250001656424273,0.408637237087769,0.141776297680533,"OSNs"
20.094,24.903,"ONL",173,0.0347745638050155,0.171352963998156,0.114728679461619,0.300070002302831,0.379073790432379,"PGC"
20.111,23.889,"GL",163,0.0132404854399948,0.0712405220410083,0.217629312097024,0.143859264037184,0.554030416384789,"PGC"
20.899,17.015,"GL",5,0.185049561379306,0.138520399719442,0.396888777617767,2.10753404673416e-05,0.279520185943017,"M-TC"
20.923,23.871,"GL",178,0.021763432404729,0.0385633572406578,0.638245226355469,9.87211641157261e-05,0.301329262835028,"M-TC"
20.929,20.972,"GL",135,0.0318429414900892,0.0443328631035269,0.603286483423905,3.73978632611855e-06,0.320533972196153,"M-TC"
20.933,15.956,"ONL",191,0.0134384512438019,0.210296831800994,0.263673290552199,0.235873216448752,0.276718209954253,"PGC"
20.96,18.968,"GL",134,0.135725711407487,0.0690798703730629,0.449977082797203,7.23222342703677e-06,0.345210103198819,"M-TC"
20.97,17.974,"GL",131,0.0832512361665251,0.0772842316967464,0.552361529921334,0.00131043070069317,0.285792571514701,"M-TC"
20.973,26.907,"GL",272,0.0846123244822927,0.100365424582976,0.20547253161223,0.00760723613919701,0.601942483183304,"PGC"
20.975,20.036,"GL",130,0.0416952282497622,0.156296676085259,0.521168950719027,5.19066343079838e-05,0.280787238311644,"M-TC"
20.999,25.892,"GL",236,0.111041680214928,0.0383910288304814,0.422317674499965,1.49041435203821e-05,0.428234712311105,"PGC"
21.006,21.941,"GL",137,0.0969029886517258,0.0599506516419416,0.510315723963796,0.000685550768483573,0.332145084974053,"M-TC"
21.011,22.796,"GL",181,0.0706097224095809,0.0432896091911675,0.617567604087595,3.51790259518837e-05,0.268497885285705,"M-TC"
21.016,24.87,"GL",182,0.0298211980546118,0.0427222883502038,0.760187716288227,1.54743440816614e-05,0.167253322962876,"M-TC"
21.901,15.95,"GL",190,0.0252506967724774,0.0751042401203031,0.575138725765761,0.000538955784437314,0.323967381557021,"M-TC"
21.908,14.979,"GL",214,0.0391202077845698,0.0979508802286582,0.279487060371278,0.00795186655285701,0.575489985062637,"PGC"
21.919,17.952,"MCL",129,0.135169184070292,0.381615840643976,0.42845282601331,7.16701762185513e-05,0.0546904790962031,"M-TC"
21.933,21.931,"MCL",136,0.0407640474568164,0.0198586329422335,0.864362221801973,3.34518940477849e-06,0.0750117526095729,"M-TC"
21.934,18.934,"MCL",132,0.101357646012272,0.401441374758177,0.396224348264524,0.00010305497655341,0.100873575988474,"GC"
21.937,16.967,"MCL",4,0.0870106775653952,0.180454413289603,0.609353962885258,2.65267700944965e-05,0.123154419489649,"M-TC"
21.938,23.891,"MCL",179,0.139042899744215,0.241764088426854,0.42241545888671,2.11081990534965e-06,0.196775442122316,"M-TC"
